Interval=,0.001 s,
ExcelDateTime=,4.54E+04,26:05.7
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0.377,0.0065625,-0.06875
0.378,0.00625,-0.0684375
0.379,0.00625,-0.068125
0.38,0.00625,-0.0678125
0.381,0.0059375,-0.0678125
0.382,0.0059375,-0.0671875
0.383,0.005625,-0.066875
0.384,0.005625,-0.066875
0.385,0.0053125,-0.0665625
0.386,0.005,-0.06625
0.387,0.005,-0.06625
0.388,0.0046875,-0.0659375
0.389,0.0046875,-0.0659375
0.39,0.0046875,-0.065625
0.391,0.004375,-0.0653125
0.392,0.004375,-0.0653125
0.393,0.004375,-0.0646875
0.394,0.0040625,-0.0646875
0.395,0.0040625,-0.064375
0.396,0.00375,-0.06375
0.397,0.00375,-0.0634375
0.398,0.00375,-0.063125
0.399,0.0034375,-0.0628125
0.4,0.0034375,-0.0621875
0.401,0.003125,-0.061875
0.402,0.003125,-0.06125
0.403,0.003125,-0.0609375
0.404,0.0028125,-0.0603125
0.405,0.0028125,-0.0596875
0.406,0.0028125,-0.059375
0.407,0.0028125,-0.0590625
0.408,0.0028125,-0.0584375
0.409,0.0028125,-0.058125
0.41,0.0028125,-0.0575
0.411,0.0028125,-0.0571875
0.412,0.0028125,-0.05625
0.413,0.0028125,-0.0559375
0.414,0.0028125,-0.0553125
0.415,0.003125,-0.055
0.416,0.003125,-0.054375
0.417,0.003125,-0.0534375
0.418,0.003125,-0.0528125
0.419,0.003125,-0.0521875
0.42,0.0034375,-0.05125
0.421,0.0034375,-0.0509375
0.422,0.0034375,-0.05
0.423,0.0034375,-0.0496875
0.424,0.0034375,-0.0490625
0.425,0.0034375,-0.04875
0.426,0.0034375,-0.048125
0.427,0.0034375,-0.0475
0.428,0.0034375,-0.0471875
0.429,0.003125,-0.046875
0.43,0.003125,-0.04625
0.431,0.003125,-0.0459375
0.432,0.003125,-0.045625
0.433,0.003125,-0.0453125
0.434,0.0028125,-0.045
0.435,0.0028125,-0.044375
0.436,0.0028125,-0.0440625
0.437,0.0025,-0.04375
0.438,0.0025,-0.0434375
0.439,0.0021875,-0.0428125
0.44,0.001875,-0.0425
0.441,0.001875,-0.0421875
0.442,0.0015625,-0.041875
0.443,0.0015625,-0.0415625
0.444,0.00125,-0.04125
0.445,0.00125,-0.0409375
0.446,0.00125,-0.040625
0.447,0.0009375,-0.040625
0.448,0.0009375,-0.04
0.449,0.0009375,-0.04
0.45,0.000625,-0.0396875
0.451,0.000625,-0.039375
0.452,0.0003125,-0.039375
0.453,0.0003125,-0.03875
0.454,0.0003125,-0.0384375
0.455,0,-0.0384375
0.456,0,-0.038125
0.457,0,-0.0378125
0.458,0,-0.0375
0.459,0,-0.0371875
0.46,0,-0.036875
0.461,0,-0.0365625
0.462,0,-0.0365625
0.463,0,-0.0365625
0.464,0,-0.03625
0.465,0,-0.03625
0.466,0,-0.03625
0.467,0,-0.03625
0.468,0,-0.03625
0.469,0,-0.0365625
0.47,0,-0.0365625
0.471,0,-0.036875
0.472,0,-0.036875
0.473,0,-0.0371875
0.474,0,-0.0375
0.475,0,-0.0375
0.476,-0.0003125,-0.0378125
0.477,-0.0003125,-0.038125
